ID,timeslice,Material,Material_x,Sample_Type,Reference,West_Subdomain,Domain,Latitude,Longitude,Height_m,Age_ma,T_age_Ma,B_age_Ma,d18O_smow,d13C,dD,d18Oprecip,O_sd,C_sd,d18_scaled
FK03.11,post-OHT,calcite,carbonate,Paleosol Carbonate,Fox and Koch 2004,NA,East,41.6,-102.8,NaN,7.3,NaN,NaN,20.7,-7.2,NaN,NaN,NaN,NaN,-0.6896561179215792
FK03.11,NA,calcite,carbonate,Paleosol Carbonate,Fox and Koch 2003,NA,East,41.6,-102.8,NaN,23,NaN,NaN,22.166666666666668,-7.2,NaN,NaN,1.0851267207105355,0.5477225575051663,0.7770105487450893
FK03.11,NA,calcite,carbonate,Paleosol Carbonate,Fox and Koch 2004,NA,East,41.6,-102.8,NaN,23,NaN,NaN,22.2,-7.2,NaN,NaN,NaN,NaN,0.8103438820784208
FK03.12,NA,calcite,carbonate,Paleosol Carbonate,Fox and Koch 2003,NA,East,42.4,-103.22380952380952,NaN,17.5,NaN,NaN,22.557142857142857,-7.1761904761904765,NaN,NaN,0.9179168963318131,0.49990475283273894,1.5415564824391803
FK03.12,NA,calcite,carbonate,Paleosol Carbonate,Fox and Koch 2004,NA,East,42.4,-103.19999999999999,NaN,17.5,NaN,NaN,22.65,-7.25,NaN,NaN,0.6363961030678943,0.3535533905932738,1.6133984711829508
FK03.14,post-OHT,calcite,carbonate,Paleosol Carbonate,Fox and Koch 2003,NA,East,42.8,-100,NaN,14.3,NaN,NaN,21.67,-6.49,NaN,NaN,1.609727375123571,1.1589746426139884,-2.1910382416533345
FK03.14,post-OHT,calcite,carbonate,Paleosol Carbonate,Fox and Koch 2004,NA,East,42.8,-100,NaN,14.3,NaN,NaN,22.299999999999997,-6.3,NaN,NaN,1.5556349186104041,0.4242640687119283,-1.5610382416533388
FK03.8,post-OHT,calcite,carbonate,Paleosol Carbonate,Fox and Koch 2003,NA,East,41.2,-102.98,NaN,7.25,NaN,NaN,20.54,-6.092,NaN,NaN,1.2114041439585717,0.9504034231139251,-0.6907815528245285
FK03.8,post-OHT,calcite,carbonate,Paleosol Carbonate,Fox and Koch 2004,NA,East,41.2,-102.65,NaN,7.3,NaN,NaN,20.25,-6.3,NaN,NaN,1.4849242404917509,0.9899494936611668,-1.2720515888357686
FK03.9,post-OHT,calcite,carbonate,Paleosol Carbonate,Fox and Koch 2003,NA,East,41.3,-102.4,NaN,8.65,NaN,NaN,19.295,-6.635,NaN,NaN,0.84882271411644,0.43561813311056835,-2.4477107070261077
