ID,Number,Material,Material_x,Sample_Type,Reference,Notes,West_Subdomain,Domain,Latitude,Longitude,Height_m,Age_ma,T_age_Ma,B_age_Ma,d18O_smow,d13C,dD,d18Oprecip,timeslice
DESFM_W,MWI-1-1,smectite,clay,Altered ash,Takeuchi 2007 dissertation,west,west,West,44.7482,-121.02897,NaN,5.2,5,5.4,15.96,NaN,NaN,NaN,post-OHT
ELK_HF,ELK1,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.6102,-115.6967,NaN,15,NaN,NaN,11.78,-1.84,NaN,NaN,post-OHT
ELK_HF,ELK10,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.6115,-115.6918,NaN,15,NaN,NaN,12.2,-2.02,NaN,NaN,post-OHT
ELK_HF,ELK11,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.6115,-115.6918,NaN,15,NaN,NaN,11.49,-2.65,NaN,NaN,post-OHT
ELK_HF,ELK12,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.6115,-115.6918,NaN,15,NaN,NaN,13.12,-1.63,NaN,NaN,post-OHT
ELK_HF,ELK3,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.6102,-115.6967,NaN,15,NaN,NaN,12.75,-2.7,NaN,NaN,post-OHT
ELK_HF,ELK4,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.6102,-115.6967,NaN,15,NaN,NaN,12.32,-2.26,NaN,NaN,post-OHT
ELK_HF,ELK5,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.6102,-115.6967,NaN,15,NaN,NaN,12.37,-2,NaN,NaN,post-OHT
ELK_HF,ELK6,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.6105,-115.6914,NaN,15,NaN,NaN,15.23,-0.45,NaN,NaN,post-OHT
ELK_HF,ELK7,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.6105,-115.6914,NaN,15,NaN,NaN,13.28,-2.11,NaN,NaN,post-OHT
