ID,Number,Sample,Latitude,Longitude,Height_m,Age_ma,T_age_Ma,B_age_Ma,d18O_smow,d13C,dD,Sample_Type,Material,Reference,dDprecip,d18Oprecip,Notes,More_notes,Other_data_type,Other_data_value,Event,Published_interpretation,Previously_published,West_Subdomain,Material_x,Domain,Filtered,Filtered_reason
CQ,09CL56,09CL56,42.1439,-112.0135,NA,8.1,NA,NA,26.63,7.21,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
CQ,09CL57,09CL57,42.1439,-112.0135,NA,8.1,NA,NA,20.97,1.11,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
CQ,09CL58,09CL58,42.1439,-112.0135,NA,8.1,NA,NA,19.75,0.31,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
CQ,09CL59,09CL59,42.1439,-112.0135,NA,8.1,NA,NA,11.84,1.34,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
CQ,09CL60,09CL60,42.1439,-112.0135,NA,8.1,NA,NA,19.05,-0.38,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
MBBJ,06MB33,06MB33,45.7964,-111.472,NA,16,NA,NA,13.07,-4.52,NA,Paleosol Carbonate,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
MBBJ,06MB34,06MB34,45.7964,-111.472,NA,15.8,NA,NA,13.44,-4.07,NA,Paleosol Carbonate,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
MBBJ,06MB35,06MB35,45.7964,-111.472,NA,15.5,NA,NA,13.67,-4.14,NA,Paleosol Carbonate,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
MBBJ,06MB36,06MB36,45.7964,-111.472,NA,15.3,NA,NA,14.48,-3.73,NA,Paleosol Carbonate,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
MBBJ,06MB37,06MB37,45.7964,-111.472,NA,15,NA,NA,14.46,-3.54,NA,Paleosol Carbonate,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
MBBJ,06MB38,06MB38,45.7964,-111.472,NA,14.8,NA,NA,13.17,-4.03,NA,Paleosol Carbonate,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
MBBJ,06MB39,06MB39,45.7964,-111.472,NA,14.5,NA,NA,14.66,-3.38,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
MBBJ,06MB41,06MB41,45.7964,-111.472,NA,14,NA,NA,13.16,-4.17,NA,Paleosol Carbonate,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
MBBJ,06MB42,06MB42,45.7964,-111.472,NA,13.8,NA,NA,13.94,-4.06,NA,Paleosol Carbonate,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
MBBJ,06MB43,06MB43,45.7964,-111.472,NA,13.5,NA,NA,13.32,-4.15,NA,Paleosol Carbonate,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
MBBJ,06MB44,06MB44,45.7964,-111.472,NA,13.3,NA,NA,14.29,-3.84,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
MBBJ,06MB45,06MB45,45.7964,-111.472,NA,13,NA,NA,13.57,NA,NA,Paleosol Carbonate,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
MBBJ,06MB46,06MB46,45.7964,-111.472,NA,12.8,NA,NA,13.85,-4.06,NA,Paleosol Carbonate,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
MBBJ,06MB47,06MB47,45.7964,-111.472,NA,12.5,NA,NA,13.28,-3.99,NA,Paleosol Carbonate,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
MBBJ,06MB48,06MB48,45.7964,-111.472,NA,12.3,NA,NA,13.73,-4.07,NA,Paleosol Carbonate,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
MBBJ,06MB49,06MB49,45.7964,-111.472,NA,12,NA,NA,13.43,-4.35,NA,Paleosol Carbonate,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
RCMU,06NR9,06NR9,45.8604,-111.1607,NA,11,NA,NA,13.25,-6.38,NA,Paleosol Carbonate,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
RCMU,06NR10,06NR10,45.8604,-111.1607,NA,9.8,NA,NA,14.36,-8.29,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
